stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,השינוי ניכר לעין,0.8541210889816284,85.41,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:24:49
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,אבולציה של אנשים,0.45419469475746155,45.42,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:24:54
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,קצב היזדקנות של בן אדם,0.47041556239128113,47.04,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:24:56
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,כי רואים את השינוי וההתפתחות של האדם,0.7613333463668823,76.13,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:24:58
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,האדם הולך וגדל,0.5889763236045837,58.9,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:25:00
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,האדם מתבגר ועובר שינויים,0.6930748224258423,69.31,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:25:02
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,כל דור והקשיים שלו זה משתנה גם במראה,0.6371793150901794,63.72,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:25:05
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,אנחנו גדלים ומשתנים.,0.5360482931137085,53.6,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:25:07
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,0.42744994163513184,42.74,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:25:09
10_1_52,10,1,52,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,0.8856868743896484,88.57,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:25:11
10_1_54,10,1,54,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are a systems thinking expert analyzing an image. Answer the following question in exactly one concise English sentence, focusing on visible relationships, causes, and consequences shown in the image.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:",this image shows the change that is made,False,,this image shows the change that is made,התמונה הזו מראה את השינוי שנעשה,רואים את השינוי במראה לפי הגיל,0.46246153116226196,46.25,multilingual semantic embedding cosine similarity,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T09:25:13
