stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",השינוי ניכר לעין,0.3042619228363037,30.43,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:44:35
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",אבולציה של אנשים,0.4662054181098938,46.62,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:44:44
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",קצב היזדקנות של בן אדם,0.589140772819519,58.91,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:44:51
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",כי רואים את השינוי וההתפתחות של האדם,0.4364389181137085,43.64,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:44:59
10_1_23,10,1,23,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",פרח שמתחיל כעצוב ונובל פורח וזה תהליך של בני אדם,0.36226069927215576,36.23,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:45:06
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",האדם הולך וגדל,0.3338589668273926,33.39,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:45:14
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",האדם מתבגר ועובר שינויים,0.5331259369850159,53.31,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:45:21
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",כל דור והקשיים שלו זה משתנה גם במראה,0.540986955165863,54.1,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:45:28
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",אנחנו גדלים ומשתנים.,0.47684401273727417,47.68,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:45:36
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Use only what is visible in the image. Write one concise English sentence that answers the question and includes relationships or likely consequences when relevant.
Question: Explain why you chose this image as reflecting the sentence ""Change is made""
Answer:","The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation",False,,"The image is a composite of three generations of people. The first generation is the oldest, the second generation is the middle aged, and the third generation is the youngest. The image is a composite of three generations of people. The first generation","התמונה מורכבת משלושה דורות של בני אדם. הדור הראשון הוא הבכור, הדור השני הוא בגיל העמידה, והדור השלישי הוא הצעיר ביותר.",כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,0.5419670343399048,54.2,multilingual semantic embedding cosine similarity,Salesforce/blip2-opt-2.7b,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T08:45:43
