stem,question_num,answer_num,participant_num,image_path,question_he,question_en,concept_text,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_cached,vlm_answer_en,vlm_answer_he,subject_answer_he,subject_word_count,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,concept_sim_en,sim_above_concept,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,False,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",השינוי ניכר לעין,3,0.5019160509109497,50.19,multilingual semantic embedding cosine similarity,The change is apparent,0.2330017387866974,23.3,0.35059013962745667,35.06,0.8214,-0.4708,0.8152,0.8814,0.847,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:08:54
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",אבולציה של אנשים,3,0.5730003714561462,57.3,multilingual semantic embedding cosine similarity,People's Evolution,0.1360626071691513,13.61,0.4992218017578125,49.92,0.3516,0.1476,0.8007,0.8586,0.8287,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:09:38
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",קצב היזדקנות של בן אדם,5,0.5825486183166504,58.25,multilingual semantic embedding cosine similarity,A person's ageing rate,0.23188291490077972,23.19,0.5722258687019348,57.22,0.2165,0.3557,0.825,0.8794,0.8514,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:09:47
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",כי רואים את השינוי וההתפתחות של האדם,7,0.6050173044204712,60.5,multilingual semantic embedding cosine similarity,Because one sees the change and development of the human being.,0.3510095775127411,35.1,0.5057258009910583,50.57,0.5565,-0.0507,0.8335,0.8959,0.8636,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:09:57
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",האדם הולך וגדל,3,0.5169691443443298,51.7,multilingual semantic embedding cosine similarity,The man is growing,0.23631194233894348,23.63,0.2881935238838196,28.82,0.2002,0.088,0.8071,0.869,0.8369,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:10:07
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",האדם מתבגר ועובר שינויים,4,0.6216126680374146,62.16,multilingual semantic embedding cosine similarity,People grow up and go through changes.,0.39046818017959595,39.05,0.5796076059341431,57.96,0.6052,-0.0256,0.8265,0.8824,0.8535,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:10:16
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",כל דור והקשיים שלו זה משתנה גם במראה,8,0.6126738786697388,61.27,multilingual semantic embedding cosine similarity,Every generation and its difficulties It also changes in appearance,0.47147825360298157,47.15,0.6288519501686096,62.89,0.5177,0.1112,0.825,0.845,0.8348,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:10:26
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",אנחנו גדלים ומשתנים.,3,0.5197591781616211,51.98,multilingual semantic embedding cosine similarity,We grow and change.,0.43503519892692566,43.5,0.407897025346756,40.79,0.5821,-0.1742,0.8192,0.9143,0.8642,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:10:36
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,8,0.46757322549819946,46.76,multilingual semantic embedding cosine similarity,Because once you get old there's no going back to being young.,0.32546576857566833,32.55,0.4728180766105652,47.28,0.3247,0.1481,0.8229,0.8332,0.828,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:10:45
10_1_52,10,1,52,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""",Change is made,"You are a systems thinking expert. Look at the image and answer the question in 2-3 concise sentences. Describe specific visual elements you observe and explain how they connect to the concept. Do not restate or translate the question.

Concept: ""Change is made""
Question: Explain why you chose this image as reflecting the sentence ""Change is made""","The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.",False,,True,"The image shows six individuals of varying ages, from young children to an elderly person, arranged side by side with their faces aligned horizontally. This arrangement symbolizes generational change and progression through time. The diverse age range represents different stages of life where experiences accumulate over years, leading to personal growth and societal evolution. Thus, it visually captures the essence that change occurs continuously across generations.","התמונה מראה שישה אנשים בני גילים שונים, מילדים קטנים ועד קשישים, מסודרים זה לצד זה עם פניהם מיושר אופקית. סידור זה מסמל שינוי דורי והתקדמות בזמן. טווח הגילים המגוונים מייצג שלבים שונים של חיים שבהם חוויות מצטברות במשך שנים, מה שמוביל לצמיחה אישית ולאבולוציה חברתית.",התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,9,0.579416036605835,57.94,multilingual semantic embedding cosine similarity,This image directly and clearly illustrates the idea of change,0.44183629751205444,44.18,0.4614678919315338,46.15,0.7059,-0.2445,0.8341,0.9007,0.8661,Qwen/Qwen2-VL-7B-Instruct,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T13:10:56
