stem,question_num,answer_num,participant_num,image_path,question_he,question_en,full_prompt,vlm_raw_answer_en,used_fallback,fallback_prompt,vlm_answer_en,vlm_answer_he,subject_answer_he,similarity,similarity_percent,comparison_method,subject_answer_en,similarity_labse_he,similarity_labse_he_percent,similarity_en,similarity_en_percent,bertscore_precision,bertscore_recall,bertscore_f1,vlm_model,embed_model,he_en_model,en_he_model,device,timestamp
10_1_11,10,1,11,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,השינוי ניכר לעין,0.2809319496154785,28.09,multilingual semantic embedding cosine similarity,The change is apparent,0.23052576184272766,23.05,0.17794883251190186,17.79,0.8733,0.8964,0.8847,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:32:44
10_1_14,10,1,14,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,אבולציה של אנשים,0.3124273419380188,31.24,multilingual semantic embedding cosine similarity,People's Evolution,0.2575817108154297,25.76,0.3048166334629059,30.48,0.8565,0.8802,0.8682,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:33:13
10_1_21,10,1,21,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,קצב היזדקנות של בן אדם,0.33369630575180054,33.37,multilingual semantic embedding cosine similarity,A person's ageing rate,0.04443030804395676,4.44,0.28322452306747437,28.32,0.8706,0.8867,0.8786,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:33:40
10_1_22,10,1,22,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,כי רואים את השינוי וההתפתחות של האדם,0.30887913703918457,30.89,multilingual semantic embedding cosine similarity,Because one sees the change and development of the human being.,0.26178404688835144,26.18,0.25142571330070496,25.14,0.869,0.8821,0.8755,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:34:06
10_1_24,10,1,24,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,האדם הולך וגדל,0.3231566250324249,32.32,multilingual semantic embedding cosine similarity,The man is growing,0.13049262762069702,13.05,0.0764576643705368,7.65,0.8641,0.88,0.872,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:34:33
10_1_26,10,1,26,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,האדם מתבגר ועובר שינויים,0.34721696376800537,34.72,multilingual semantic embedding cosine similarity,People grow up and go through changes.,0.2582428753376007,25.82,0.27850770950317383,27.85,0.8623,0.8685,0.8654,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:35:00
10_1_36,10,1,36,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,כל דור והקשיים שלו זה משתנה גם במראה,0.3481413424015045,34.81,multilingual semantic embedding cosine similarity,Every generation and its difficulties It also changes in appearance,0.24824729561805725,24.82,0.3427235782146454,34.27,0.8642,0.8409,0.8524,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:35:26
10_1_37,10,1,37,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,אנחנו גדלים ומשתנים.,0.28299206495285034,28.3,multilingual semantic embedding cosine similarity,We grow and change.,0.2508867084980011,25.09,0.11269006878137589,11.27,0.8597,0.8856,0.8725,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:35:53
10_1_49,10,1,49,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,כי ברגע שמזדקנים אין דרך חזרה להיות צעיר,0.2716042101383209,27.16,multilingual semantic embedding cosine similarity,Because once you get old there's no going back to being young.,0.1894041746854782,18.94,0.2100319117307663,21.0,0.8603,0.8433,0.8517,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:36:19
10_1_52,10,1,52,dataset/images/10_1.png,"הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""","Explain why you chose this image as reflecting the sentence ""Change is made""","You are an expert in systems thinking. Based on the image, answer the user's question in English. Focus on relationships, interactions, or decision dynamics when relevant.
Question (Hebrew): הסבירו מדוע בחרתם בתמונה זו כמשקפת את המשפט "" השינוי נעשה   ""
Answer:",,True,"Describe what concrete objects, actions, or relationships are visible in this image, and what role they might play in a systems thinking context.",the image shows a group of people with different faces,התמונה מראה קבוצה של אנשים עם פנים שונות,התמונה הזו ממחישה בצורה ישירה וברורה את רעיון השינוי,0.4643760919570923,46.44,multilingual semantic embedding cosine similarity,This image directly and clearly illustrates the idea of change,0.5080147385597229,50.8,0.3761204481124878,37.61,0.8923,0.8939,0.8931,Salesforce/blip2-flan-t5-xl,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,Helsinki-NLP/opus-mt-tc-big-he-en,Helsinki-NLP/opus-mt-en-he,cuda,2026-02-27T12:36:46
